address,postal,city,lat,lon
17 Fairmount Cres,M4L 2H1,Toronto,43.6772186,-79.3137448
93 Salem Ave,M6H 3C2,Toronto,43.66320349999999,-79.432401
191 Langley Ave,M4K 1B8,Toronto,43.6695643,-79.3443484
1309A Dundas St W,M6J 1X8,Toronto,43.6491945,-79.4260774
267 Euclid Ave,M6J 2K1,Toronto,43.6529079,-79.41005690000001
305 Symington Ave,M6P 3W7,Toronto,43.6653424,-79.45079779999999
362 Danforth Ave,M4K 1N8,Toronto,43.6776484,-79.35256110000002
70 Vernon St,M6P 1T1,Toronto,43.6633178,-79.4804103
43 MacDonell Ave,M6R 2A3,Toronto,43.64180289999999,-79.438193
220 Caledonia Rd,M6E,Toronto,43.68146549999999,-79.45766259999999
565 Dovercourt Rd,M6H 2W5,Toronto,43.6574079,-79.4276297
3265 Yonge St,M4N 3P6,Toronto,43.72928599999999,-79.40308999999999
98 Dupont St,M5R 1V2,Toronto,43.6764272,-79.4009737
35 Lytton Blvd,M4R 1L2,Toronto,43.71549359999999,-79.4032084
129 Jefferson Ave,M6K 3E4,Toronto,43.6395734,-79.4218554
2563 Dundas St W,M6P 1X6,Toronto,43.6621813,-79.4558105
1441 Dufferin St,M6H 4C7,Toronto,43.671642,-79.4401273
103 Milverton Blvd,M4J 1T7,Toronto,43.6838173,-79.3370786
211 Howard Park Ave,M6R 1V9,Toronto,43.6497864,-79.4563244
6 Shanly St,M6H 1S1,Toronto,43.6646839,-79.4299218
661 Briar Hill Ave,M6B 1L2,Toronto,43.7075257,-79.4279188
115 Albertus Ave,M4R 1J6,Toronto,43.7136686,-79.4033841
68 Olive Ave,M2N 6H8,Toronto,43.7797832,-79.41048889999999
245 Greenwood Ave,M4L 2R4,Toronto,43.6707316,-79.3277014
39A Nairn Ave,M6E 4G8,Toronto,43.6777924,-79.4487754
4 Beachview Cres,M4E 2L3,Toronto,43.680814,-79.3055127
68 Browning Ave,M4K 1V9,Toronto,43.6819535,-79.3538346
137 Belsize Dr,M4S 1L3,Toronto,43.701562,-79.39028080000001
273 Markham St,M6J 2G7,Toronto,43.6551327,-79.4082404
2706A Danforth Ave,M4C 1L7,Toronto,43.6892945,-79.2985219
189 Forest Hill Rd,M5P 2N3,Toronto,43.69817949999999,-79.407859
47 Howie Ave,M4M 0B5,Toronto,43.6612516,-79.3482283
932 Gerrard St E,M4M 1Z2,Toronto,43.6682555,-79.341143
319 Wallace Ave,M6P 3N6,Toronto,43.6610611,-79.44997029999999
213 Berkeley St,M5A 2X3,Toronto,43.6572904,-79.3664012
695 Bay St,M5G 1Z4,Toronto,43.65833050000001,-79.3847361
465 Shaw St,M6G 3L4,Toronto,43.6556795,-79.4202883
124 Dovercourt Rd,M6J 3C4,Toronto,43.6442843,-79.422825
82 Chudleigh Ave,M4R 1T3,Toronto,43.7233083,-79.4075804
19 Rushbrooke Ave,M4M 3A8,Toronto,43.6608253,-79.33123309999999
77 Ferrier Ave,M4K 3H6,Toronto,43.6804451,-79.34882189999999
1046 College St,M6H 1A9,Toronto,43.6533323,-79.4303269
103 Sussex Ave,M5S 1K4,Toronto,43.6635795,-79.4073275
212 Bathurst St,M5T 2R9,Toronto,43.6482366,-79.404601
183 Laughton Ave,M6N 2X6,Toronto,43.672854,-79.45656960000001
2075 Danforth Ave,M4C 1J8,Toronto,43.6855082,-79.3129642
41 Alma Ave,M6K 3L8,Toronto,43.6448904,-79.4301098
50 Turnberry Ave,M6N 1P8,Toronto,43.67859259999999,-79.4646535
72B Coxwell Ave,M4L 3A7,Toronto,43.6683563,-79.3176031
159 Boon Ave,M6E 3Z6,Toronto,43.68133470000001,-79.4476111
538 Crawford St,M6G 3J8,Toronto,43.6585501,-79.4206605
19 Woodland Hts,M6S 2W3,Toronto,43.6401309,-79.46791669999999
14 Pine Hill Rd,M4W 1P6,Toronto,43.674494,-79.38449450000002
1552 Dundas St E,M4L 1K8,Toronto,43.6671955,-79.3306168
101 Winona Dr,M6G 3S8,Toronto,43.6773459,-79.4307414
251 Albany Ave,M5R 3C7,Toronto,43.6727222,-79.4129248
2234 Queen St E,M4E 1G2,Toronto,43.6728117,-79.28746129999999
280 Clinton St,M6G 2Y6,Toronto,43.6615058,-79.4166163
79 Maughan Cres,M4L 3E6,Toronto,43.6700834,-79.3131753
89 Gilbert Ave,M6E 4W2,Toronto,43.6797091,-79.4577043
47 Riverdale Ave,M4K 1C2,Toronto,43.6691238,-79.350582
58 Wallace Ave,M6H 1T5,Toronto,43.6635952,-79.439292
122 Winchester St,M4X 1B4,Toronto,43.6668761,-79.3649805
679 Oriole Pkwy,M4R 2C1,Toronto,43.7081677,-79.4070198
331 Kingston Rd,M4L 1T8,Toronto,43.6747021,-79.3067014
88 Strathcona Ave,M4J 1G8,Toronto,43.6764859,-79.3416821
365 Castlefield Ave,M5N 1L4,Toronto,43.7087291,-79.4131321
40 Kingswood Rd,M4E 3N5,Toronto,43.6749479,-79.2839135
209 Booth Ave,M4M 2M6,Toronto,43.6610915,-79.3436844
53 Alton Ave,M4L 2M3,Toronto,43.6653668,-79.3283386
307 Clinton St,M6G 2Y7,Toronto,43.6620578,-79.4163301
1077 Dovercourt Rd,M6H 2X7,Toronto,43.6690754,-79.4322516
50 Manor Rd W,M5P 1E7,Toronto,43.7022883,-79.39941619999999
146 Neville Park Blvd,M4E 3P8,Toronto,43.6759943,-79.28298590000001
55 Sullivan St,M5T 1C2,Toronto,43.6510535,-79.3954487
90 Lambertlodge Ave,M6G 3X3,Toronto,43.6734533,-79.42520040000001
763 Craven Rd,M4L 2Z7,Toronto,43.6762397,-79.32264239999999
260 Silver Birch Ave,M4E 3L5,Toronto,43.6788036,-79.2878466
4 Lambert Ave,M6E 1E3,Toronto,43.6770022,-79.4561591
375 Balliol St,M4S 1E1,Toronto,43.6995735,-79.3843289
87 Woodside Ave,M6P 1L9,Toronto,43.6578499,-79.478347
67 Browning Ave,M4K 1W1,Toronto,43.6814165,-79.3543296
17 Currie Ave,M4C 1C3,Toronto,43.6805902,-79.3212077
4 Glenmore Rd,M4L 3L9,Toronto,43.6760285,-79.3104543
813 Shaw St,M6G 3L9,Toronto,43.66449,-79.4238188
17 Beaver Ave,M6H 2E9,Toronto,43.6717173,-79.4416329
151 Lansdowne Ave,M6K 2W1,Toronto,43.6454556,-79.4382919
151 Simcoe St,M5H 3E5,Toronto,43.6503749,-79.3871702
176 Davisville Ave,M4S 1E8,Toronto,43.6998058,-79.3901106
15 Edgewood Grv,M4L 1X8,Toronto,43.6730198,-79.31357609999999
125 MacDonell Ave,M6R 2A4,Toronto,43.6441849,-79.4391282
90 Wychwood Pk,M6G 2V5,Toronto,43.6779978,-79.4185559
181 Cherry St,M5A 4N6,Toronto,43.6419412,-79.3493613
106A Banff Rd,M4P 2P5,Toronto,43.7102038,-79.38256640000002
1419 Gerrard St E,M4L 1Z7,Toronto,43.6720294,-79.32254139999999
142 Millicent St,M6H 1W4,Toronto,43.66471689999999,-79.4428607
199 Marlborough Pl,M5R 3J5,Toronto,43.6782925,-79.396665
66 Nairn Ave,M6E 4G7,Toronto,43.6785249,-79.4496193
78 Caithness Ave,M4J 3X8,Toronto,43.6831396,-79.3360051
590 Bloor St W,M6G 1K4,Toronto,43.66492,-79.4128236
